Track name, Artist name, Album, Playlist name, Type, ISRC
Formation,Beyoncé,Lemonade,I Love My '10s R&B,Playlist track,USSM11603186
Talk (feat. Disclosure),Khalid,Free Spirit,I Love My '10s R&B,Playlist track,USRC11900004
Body,Summer Walker,Over It,I Love My '10s R&B,Playlist track,USUM71919084
What You Need,The Weeknd,Trilogy,I Love My '10s R&B,Playlist track,USUM71212068
Consideration,Rihanna,ANTI (Deluxe),I Love My '10s R&B,Playlist track,QM5FT1600113
Drunk in Love (feat. Jay-Z),Beyoncé,BEYONCÉ [Platinum Edition],I Love My '10s R&B,Playlist track,USSM11307800
Stay Ready (What A Life),Jhené Aiko,Sail Out,I Love My '10s R&B,Playlist track,USUM71312344
Planez,Jeremih,Late Nights: The Album,I Love My '10s R&B,Playlist track,USUM71517404
PERSIAN RUGS,PARTYNEXTDOOR,PARTYPACK,I Love My '10s R&B,Playlist track,USWB12004216
Kickin’ Back,Mila J,213,I Love My '10s R&B,Playlist track,USUM71604806
Post to Be (feat. Chris Brown & Jhene Aiko),Omarion,Sex Playlist,I Love My '10s R&B,Playlist track,USAT21404845
20 Something,SZA,Ctrl,I Love My '10s R&B,Playlist track,USRC11701132
Honesty,Pink Sweat$,PINK PLANET,I Love My '10s R&B,Playlist track,QM24S1818041
It Won't Stop (feat. Chris Brown) - EP Version,Sevyn Streeter,"Call Me Crazy, But...",I Love My '10s R&B,Playlist track,USAT21302744
Pour It Up,Rihanna,Unapologetic (Deluxe),I Love My '10s R&B,Playlist track,USUM71214737
Slow Motion,Trey Songz,Trigga Reloaded,I Love My '10s R&B,Playlist track,USAT21405436
The Worst,Jhené Aiko,Sail Out,I Love My '10s R&B,Playlist track,USUM71312346
New Flame (feat. Usher & Rick Ross),Chris Brown,X (Expanded Edition),I Love My '10s R&B,Playlist track,USRC11401422
She Don't (feat. Ty Dolla $Ign),Ella Mai,Time,I Love My '10s R&B,Playlist track,TCACM1652825
Eleven (feat. Summer Walker),Khalid,Eleven (feat. Summer Walker),I Love My '10s R&B,Playlist track,USRC12000726
I Want You Around,Snoh Aalegra,"- Ugh, those feels again",I Love My '10s R&B,Playlist track,QZG9T1900002
Gang Over Luv,Brent Faiyaz,Sonder Son,I Love My '10s R&B,Playlist track,QM24S1703696
Girl (feat. KAYTRANADA),The Internet,Ego Death,I Love My '10s R&B,Playlist track,USQX91500966
Hold Up,Beyoncé,Lemonade,I Love My '10s R&B,Playlist track,USSM11603176
Deuces (feat. Tyga & Kevin McCall),Chris Brown,F.A.M.E. (Expanded Edition),I Love My '10s R&B,Playlist track,USJI11000113
Blue Lights,Jorja Smith,Lost & Found,I Love My '10s R&B,Playlist track,US23A1500072
Boo'd Up,Ella Mai,READY,I Love My '10s R&B,Playlist track,USUM71700987
You,Jacquees,4275 (Bonus Version),I Love My '10s R&B,Playlist track,USCM51800045
Wus Good / Curious,PARTYNEXTDOOR,PARTYNEXTDOOR,I Love My '10s R&B,Playlist track,USWB11302162
D'Evils,SiR,November,I Love My '10s R&B,Playlist track,TCADJ1779064
Every Kind Of Way,H.E.R.,H.E.R.,I Love My '10s R&B,Playlist track,USRC11700627
Shea Butter Baby (with J. Cole),Ari Lennox,Shea Butter Baby,I Love My '10s R&B,Playlist track,USUM71820049
Adorn,Miguel,Kaleidoscope Dream (Deluxe Version),I Love My '10s R&B,Playlist track,USRC11200647
Hold On,The Internet,Hive Mind,I Love My '10s R&B,Playlist track,USSM11804490
