Track name, Artist name, Album, Playlist name, Type, ISRC
Stick Talk,Future,DS2 (Deluxe),I Love My 2010s Hip-Hop,Playlist track,USSM11505580
Outstanding,Gunna,Drip or Drown 2,I Love My 2010s Hip-Hop,Playlist track,QMCE31902017
Black (feat. A$AP Ferg),Buddy,Harlan & Alondra,I Love My 2010s Hip-Hop,Playlist track,USRC11800488
It's A Vibe,2 Chainz,Pretty Girls Like Trap Music,I Love My 2010s Hip-Hop,Playlist track,USUM71701465
444+222,Lil Uzi Vert,Luv Is Rage 2,I Love My 2010s Hip-Hop,Playlist track,USAT21703426
My Way (feat. Monty),Fetty Wap,Fetty Wap (Deluxe),I Love My 2010s Hip-Hop,Playlist track,QMCE31500316
New Freezer (feat. Kendrick Lamar),Rich The Kid,The World Is Yours,I Love My 2010s Hip-Hop,Playlist track,USUM71708973
How I Move (feat. Lil Baby),Flipp Dinero,LOVE FOR GUALA,I Love My 2010s Hip-Hop,Playlist track,USSM11914254
Bigger Than You (feat. Drake & Quavo),2 Chainz,Bigger Than You feat. Drake & Quavo,I Love My 2010s Hip-Hop,Playlist track,USUG11801242
Drip or Drown Remix (feat. Lil Yachty),Gunna,Drip Season 3 (Deluxe),I Love My 2010s Hip-Hop,Playlist track,QZ5FA1752002
Ice Tray,Quality Control,Quality Control: Control The Streets Volume 1,I Love My 2010s Hip-Hop,Playlist track,USUM71713649
The London (feat. J. Cole & Travis Scott),Young Thug,The London (feat. J. Cole & Travis Scott),I Love My 2010s Hip-Hop,Playlist track,USAT21903320
Say Na (feat. J. Cole),Moneybagg Yo,RESET,I Love My 2010s Hip-Hop,Playlist track,USUM71816094
Trap Trap Trap (feat. Young Thug & Wale),Rick Ross,Rather You Than Me,I Love My 2010s Hip-Hop,Playlist track,USSM11701695
My Shit,A Boogie Wit da Hoodie,Artist,I Love My 2010s Hip-Hop,Playlist track,USAT21602047
The Box,Roddy Ricch,Please Excuse Me for Being Antisocial,I Love My 2010s Hip-Hop,Playlist track,USAT21906978
Jet Lag,A$AP Ferg,Floor Seats,I Love My 2010s Hip-Hop,Playlist track,USRC11902221
Spin The Block (feat. Future),Lil Durk,Signed To The Streets 3,I Love My 2010s Hip-Hop,Playlist track,USUM71812396
Yikes,Kanye West,ye,I Love My 2010s Hip-Hop,Playlist track,USUM71807679
Oh Okay (feat. Young Thug & Lil Baby),Gunna,Drip Season 3 (Deluxe),I Love My 2010s Hip-Hop,Playlist track,QZ5FA1752000
Ball For Me (feat. Nicki Minaj),Post Malone,beerbongs & bentleys,I Love My 2010s Hip-Hop,Playlist track,USUM71710834
If I Tell You,Flipp Dinero,LOVE FOR GUALA,I Love My 2010s Hip-Hop,Playlist track,USSM11902495
Ballin' (with Roddy Ricch),Mustard,Perfect Ten,I Love My 2010s Hip-Hop,Playlist track,USUM71911808
Die Young,Roddy Ricch,Feed Tha Streets II,I Love My 2010s Hip-Hop,Playlist track,USAT21804333
Check,Young Thug,Barter 6,I Love My 2010s Hip-Hop,Playlist track,USAT21501213
goosebumps,Travis Scott,Birds In The Trap Sing McKnight,I Love My 2010s Hip-Hop,Playlist track,USSM11607555
"BIG BANK (feat. 2 Chainz, Big Sean, Nicki Minaj)",YG,STAY DANGEROUS,I Love My 2010s Hip-Hop,Playlist track,USUM71807398
HONEST,Baby Keem,DIE FOR MY BITCH,I Love My 2010s Hip-Hop,Playlist track,QM6N21900313
Who Dat Boy (feat. A$AP Rocky),"Tyler, The Creator",Flower Boy,I Love My 2010s Hip-Hop,Playlist track,USQX91701276
Welcome To The Party,Pop Smoke,Meet The Woo,I Love My 2010s Hip-Hop,Playlist track,USUM71910037
