Track name, Artist name, Album, Playlist name, Type, ISRC
What A Time (feat. Niall Horan),Julia Michaels,Inner Monologue Part 1,Hit Rewind,Playlist track,USUM71900686
Ho Hey,The Lumineers,The Lumineers (Deluxe Edition),Hit Rewind,Playlist track,USDMG1260805
Be the One,Dua Lipa,Dua Lipa (Deluxe),Hit Rewind,Playlist track,GBAHT1500573
Elastic Heart,Sia,1000 Forms Of Fear (Deluxe Version),Hit Rewind,Playlist track,USRC11400976
Born This Way,Lady Gaga,Born This Way (International Special Edition Version),Hit Rewind,Playlist track,USUM71100638
Stay,Rihanna,Unapologetic (Deluxe),Hit Rewind,Playlist track,USUM71214754
What About Us,P!nk,Beautiful Trauma,Hit Rewind,Playlist track,USRC11701586
We Are Never Ever Getting Back Together,Taylor Swift,Red (Big Machine Radio Release Special),Hit Rewind,Playlist track,USCJY1231018
"Hey, Soul Sister",Train,"Save Me, San Francisco (Golden Gate Edition)",Hit Rewind,Playlist track,USSM10904113
Firework,Katy Perry,Teenage Dream,Hit Rewind,Playlist track,USCA21001262
Hold My Hand,Jess Glynne,I Cry When I Laugh,Hit Rewind,Playlist track,GBAHS1500049
Just the Way You Are,Bruno Mars,Doo-Wops & Hooligans,Hit Rewind,Playlist track,USAT21001269
Let Her Go,Passenger,All the Little Lights (Deluxe Version),Hit Rewind,Playlist track,GBMQN1100004
"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",Hit Rewind,Playlist track,USRC11600876
I'm Not The Only One,Sam Smith,In The Lonely Hour,Hit Rewind,Playlist track,GBUM71308836
Black Magic,Little Mix,Get Weird (Expanded Edition),Hit Rewind,Playlist track,GBHMU1500046
Single Ladies (Put a Ring on It),Beyoncé,I AM...SASHA FIERCE - Platinum Edition,Hit Rewind,Playlist track,USSM10803760
Hold Back The River,James Bay,Chaos And The Calm,Hit Rewind,Playlist track,USUM71413733
Scars To Your Beautiful,Alessia Cara,Know-It-All,Hit Rewind,Playlist track,USUM71506811
IDGAF,Dua Lipa,Dua Lipa (Deluxe),Hit Rewind,Playlist track,GBAHT1600301
Call Me Maybe,Carly Rae Jepsen,Kiss,Hit Rewind,Playlist track,CAB391100615
Love Yourself,Justin Bieber,Purpose (Deluxe),Hit Rewind,Playlist track,USUM71516761
When I Was Your Man,Bruno Mars,Unorthodox Jukebox,Hit Rewind,Playlist track,USAT21206701
Same Love (feat. Mary Lambert),Macklemore & Ryan Lewis,The Heist,Hit Rewind,Playlist track,GMM881200024
Stay With Me,Sam Smith,In The Lonely Hour,Hit Rewind,Playlist track,GBUM71308833
"Still Falling For You - From ""Bridget Jones's Baby""",Ellie Goulding,"Still Falling For You (From ""Bridget Jones's Baby"" Original Motion Picture Soundtrack)",Hit Rewind,Playlist track,GBUM71603863
Havana (feat. Young Thug),Camila Cabello,Camila,Hit Rewind,Playlist track,USSM11706905
Love You Like A Love Song,Selena Gomez & The Scene,When The Sun Goes Down,Hit Rewind,Playlist track,USHR11132668
Run the World (Girls),Beyoncé,4,Hit Rewind,Playlist track,USSM11102447
no tears left to cry,Ariana Grande,Sweetener,Hit Rewind,Playlist track,USUM71805289
Steal My Girl,One Direction,FOUR (Deluxe),Hit Rewind,Playlist track,GBHMU1400159
Like I Can,Sam Smith,In The Lonely Hour,Hit Rewind,Playlist track,GBUM71308834
Sugar,Maroon 5,V,Hit Rewind,Playlist track,USUM71410340
Anywhere,Rita Ora,Anywhere,Hit Rewind,Playlist track,GBAHS1701111
bellyache,Billie Eilish,Bellyache,Hit Rewind,Playlist track,USUM71615103
